Step 120 timings: Total: 1.8159ms, Carnivores: 0.0380ms, Herbivores: 1.5515ms, Plants: 0.1934ms | Threads: 2
Step 121 timings: Total: 0.9198ms, Carnivores: 0.0600ms, Herbivores: 0.6975ms, Plants: 0.1366ms | Threads: 2
Step 122 timings: Total: 1.0711ms, Carnivores: 0.0736ms, Herbivores: 0.7925ms, Plants: 0.1781ms | Threads: 2
Step 123 timings: Total: 1.0491ms, Carnivores: 0.1678ms, Herbivores: 0.6491ms, Plants: 0.1182ms | Threads: 2
Step 124 timings: Total: 0.8916ms, Carnivores: 0.0759ms, Herbivores: 0.6571ms, Plants: 0.1310ms | Threads: 2
Step 125 timings: Total: 1.0895ms, Carnivores: 0.1215ms, Herbivores: 0.7915ms, Plants: 0.1408ms | Threads: 2
Step 126 timings: Total: 0.9947ms, Carnivores: 0.0942ms, Herbivores: 0.6656ms, Plants: 0.2064ms | Threads: 2
Step 127 timings: Total: 1.0506ms, Carnivores: 0.0813ms, Herbivores: 0.8089ms, Plants: 0.1324ms | Threads: 2
Step 128 timings: Total: 1.0159ms, Carnivores: 0.0763ms, Herbivores: 0.7797ms, Plants: 0.1345ms | Threads: 2
Step 129 timings: Total: 0.9459ms, Carnivores: 0.0865ms, Herbivores: 0.7125ms, Plants: 0.1213ms | Threads: 2
Step 130 timings: Total: 1.0656ms, Carnivores: 0.0754ms, Herbivores: 0.8285ms, Plants: 0.1363ms | Threads: 2
Step 131 timings: Total: 0.9857ms, Carnivores: 0.0809ms, Herbivores: 0.7307ms, Plants: 0.1483ms | Threads: 2
Step 132 timings: Total: 1.1527ms, Carnivores: 0.1069ms, Herbivores: 0.8131ms, Plants: 0.2040ms | Threads: 2
Step 133 timings: Total: 0.9655ms, Carnivores: 0.0762ms, Herbivores: 0.7171ms, Plants: 0.1459ms | Threads: 2
Step 134 timings: Total: 1.0019ms, Carnivores: 0.0789ms, Herbivores: 0.7564ms, Plants: 0.1394ms | Threads: 2
Step 135 timings: Total: 1.1853ms, Carnivores: 0.0797ms, Herbivores: 0.9538ms, Plants: 0.1263ms | Threads: 2
Step 136 timings: Total: 1.1985ms, Carnivores: 0.1584ms, Herbivores: 0.8759ms, Plants: 0.1362ms | Threads: 2
Step 137 timings: Total: 0.9525ms, Carnivores: 0.1609ms, Herbivores: 0.6388ms, Plants: 0.1276ms | Threads: 2
Step 138 timings: Total: 1.1026ms, Carnivores: 0.0596ms, Herbivores: 0.8440ms, Plants: 0.1617ms | Threads: 2
Step 139 timings: Total: 1.0400ms, Carnivores: 0.0739ms, Herbivores: 0.7422ms, Plants: 0.1718ms | Threads: 2
Step 140 timings: Total: 1.1815ms, Carnivores: 0.1863ms, Herbivores: 0.8479ms, Plants: 0.1196ms | Threads: 2
Step 141 timings: Total: 0.9880ms, Carnivores: 0.0901ms, Herbivores: 0.6784ms, Plants: 0.1863ms | Threads: 2
Step 142 timings: Total: 0.9514ms, Carnivores: 0.0977ms, Herbivores: 0.6922ms, Plants: 0.1334ms | Threads: 2
Step 143 timings: Total: 0.9623ms, Carnivores: 0.0985ms, Herbivores: 0.6837ms, Plants: 0.1525ms | Threads: 2
Step 144 timings: Total: 1.0665ms, Carnivores: 0.0750ms, Herbivores: 0.8418ms, Plants: 0.1218ms | Threads: 2
Step 145 timings: Total: 1.0504ms, Carnivores: 0.0722ms, Herbivores: 0.8296ms, Plants: 0.1229ms | Threads: 2
Step 146 timings: Total: 0.9118ms, Carnivores: 0.0640ms, Herbivores: 0.5858ms, Plants: 0.2354ms | Threads: 2
Step 147 timings: Total: 0.9524ms, Carnivores: 0.0787ms, Herbivores: 0.7109ms, Plants: 0.1345ms | Threads: 2
Step 148 timings: Total: 1.0945ms, Carnivores: 0.0940ms, Herbivores: 0.8413ms, Plants: 0.1338ms | Threads: 2
Step 149 timings: Total: 0.7719ms, Carnivores: 0.0807ms, Herbivores: 0.5565ms, Plants: 0.1093ms | Threads: 2
Step 150 timings: Total: 0.8268ms, Carnivores: 0.0709ms, Herbivores: 0.6131ms, Plants: 0.1169ms | Threads: 2
Step 151 timings: Total: 1.1519ms, Carnivores: 0.0679ms, Herbivores: 0.9673ms, Plants: 0.0913ms | Threads: 2
Step 152 timings: Total: 1.0428ms, Carnivores: 0.2670ms, Herbivores: 0.6181ms, Plants: 0.1322ms | Threads: 2
Step 153 timings: Total: 0.8678ms, Carnivores: 0.1324ms, Herbivores: 0.6177ms, Plants: 0.0918ms | Threads: 2
Step 154 timings: Total: 0.8371ms, Carnivores: 0.1476ms, Herbivores: 0.5466ms, Plants: 0.1168ms | Threads: 2
